,id,text,link,created_at,tweet_type,user.screen_name,user.name,user.id,user.friends,user.followers,user.verified,user.account_created_at,user.location,media.media_type,media.media_urls,geolocation
29437,902882866631233536,"1,000 homes near Barker and 3,000 homes near Addicks are innundated with water, @JeffLindner1 says.  Watch now on K… https://t.co/kgsE6xhwWc",http://twitter.com/KHOU/statuses/902882866631233536,2017-08-30 13:17:04+00:00,original_tweet,khou,KHOU 11 News Houston,15791186,1009,625516,True,2008-08-09T18:33:49.000Z,"Houston, TX",photo,['http://pbs.twimg.com/media/DIevLMlVAAkns1I.jpg'],
41488,902884036221292544,"Some homes near reservoirs will be inundated for several weeks.  Not sure of their status, @JeffLindner1 says WATCH… https://t.co/CbNZ2jj47B",http://twitter.com/KHOU/statuses/902884036221292544,2017-08-30 13:21:43+00:00,original_tweet,khou,KHOU 11 News Houston,15791186,1009,625521,True,2008-08-09T18:33:49.000Z,"Houston, TX",photo,['http://pbs.twimg.com/media/DIewBStVwAAVoNi.jpg'],
41499,902885631281561600,"Bridge City, TX inundated overnight..Better news:#Harvey moving N at 9 mph (faster than it has since making origina… https://t.co/ByL61D1974",http://twitter.com/Ginger_Zee/statuses/902885631281561600,2017-08-30 13:28:03+00:00,original_tweet,ginger_zee,Ginger Zee,84194879,2076,1957292,True,2009-10-22T00:02:08.000Z,New York,video,['https://video.twimg.com/ext_tw_video/902885585114636295/pu/vid/320x180/YGKVJR6R_QpK8jjy.mp4'],
41501,902885846243831812,Our Mobile Kitchens are all over Texas - in Rockport and Houston. We'll be serving first responders &amp; volunteers 2m… https://t.co/ujpKnLVCCV,http://twitter.com/HEB/statuses/902885846243831812,2017-08-30 13:28:55+00:00,original_tweet,heb,H-E-B,23967651,6776,216403,True,2009-03-12T15:29:37.000Z,"San Antonio, Texas",video,['https://video.twimg.com/ext_tw_video/902885609282297856/pu/vid/320x180/6odlnczwGCAgKMe5.mp4'],
39450,902886211756449792,"Our Disaster Relief Units are in Rockport (serving community) and Houston (serving first responders), providing mea… https://t.co/RUvQhqAFkp",http://twitter.com/HEB/statuses/902886211756449792,2017-08-30 13:30:22+00:00,original_tweet,heb,H-E-B,23967651,6776,216403,True,2009-03-12T15:29:37.000Z,"San Antonio, Texas",video,['https://video.twimg.com/ext_tw_video/902885924656136193/pu/vid/320x180/NnH9UnR1axEkskYq.mp4'],
39459,902887122146873344,"Tropical Storm #Harvey made landfall, now just W of Lake Charles. Dry air wrapping in E of center good news for par… https://t.co/zLwEhWuXm3",http://twitter.com/ReedTimmerAccu/statuses/902887122146873344,2017-08-30 13:33:59+00:00,original_tweet,reedtimmeraccu,Reed Timmer,22035690,23587,309881,False,2009-02-26T17:32:59.000Z,"State College, PA",photo,['http://pbs.twimg.com/media/DIezC59VYAA-FrA.jpg'],
39472,902887720682446848,"Headed to Port Aransas with @Caller_Courtney to get a bird's eye view with our drone. Along the way, Corpus Christi… https://t.co/wvJBq2ZqKu",http://twitter.com/reportermatt/statuses/902887720682446848,2017-08-30 13:36:22+00:00,original_tweet,reportermatt,Matt Woolbright,288542838,863,2616,True,2011-04-27T01:33:14.000Z,"Corpus Christi, Texas",photo,['http://pbs.twimg.com/media/DIezjvyVoAABCnN.jpg'],
39478,902888243942830080,"TxDOT crews setting the day's game plan, loading material and moving throughout Coastal Bend in continuing TxDOT re… https://t.co/4sCWanwDmG",http://twitter.com/TxDOT_CRP/statuses/902888243942830080,2017-08-30 13:38:26+00:00,original_tweet,txdot_crp,TxDOT CRP PIO,33616818,122,2937,False,2009-04-20T18:48:11.000Z,"Corpus Christi, Texas",photo,"['http://pbs.twimg.com/media/DIeztieUwAAS7HI.jpg', 'http://pbs.twimg.com/media/DIez3bmUQAEOMXp.jpg', 'http://pbs.twimg.com/media/DIez8XNVwAYQ4Bb.jpg']",
46889,902888729588756481,"HAPPY 181st BIRTHDAY, HOUSTON! Give the best birthday gift DONATE to #Harvey recovery efforts! visit:… https://t.co/3QNpu1wxyN",http://twitter.com/HoustonTX/statuses/902888729588756481,2017-08-30 13:40:22+00:00,original_tweet,houstontx,City of Houston,76117833,179,191302,True,2009-09-21T19:32:06.000Z,"Houston, TX, USA",photo,['http://pbs.twimg.com/media/DIe0gjiUEAA04lu.jpg'],
46897,902889883810672640,#HURRICANEHARVEY Selecting verified charities following Harvey https://t.co/lKVeItrilZ YOUR GULF COAST WEATHER AUTH… https://t.co/GEOvwY58sY,http://twitter.com/Fox26Houston/statuses/902889883810672640,2017-08-30 13:44:57+00:00,original_tweet,fox26houston,FOX26Houston,17094323,5367,255534,True,2008-10-31T23:36:58.000Z,"Houston, Texas",photo,['http://pbs.twimg.com/media/DIe1kEyVoAECcSg.jpg'],
