,Unnamed: 0,Unnamed: 0.1,id,text,link,created_at,tweet_type,user.screen_name,user.name,user.id,user.friends,user.followers,user.verified,user.account_created_at,user.location,media.media_type,media.media_urls,geolocation,id.trunc,hrisk_img,relevant,forecast,trop-out,cone,arrival,prob,surge,key-msg,ww,threat-impact,conv-out,meso-disc,rain-fore,rain-out,riv-flood,spag,text-img,model,evac,other-fore,other-non-fore,video,ww_exp,ww_cone,ww_md,official,unofficial,spanish
36,91,91,901805041727746048,"Major flood disaster in Houston, multiple fatalities, 2 feet of rain, rivers at record levels. The sum of all fears… https://t.co/Nm3jaXbAVI",http://twitter.com/capitalweather/statuses/901805041727746048,2017-08-27 13:54:11+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1330,963317,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIPa26pW0AA__UC.jpg'],,901805041727746,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no
37,92,92,901811257354969090,1017a: It gets worse. Big area of torrential rain moving over Houston. More disastrous flooding. https://t.co/OJQJfA6Vkx,http://twitter.com/capitalweather/statuses/901811257354969090,2017-08-27 14:18:53+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1330,963336,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DIPgjlwWAAA_s74.mp4'],,901811257354969,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
39,95,95,901843025432907778,1223p: Relentless rain in Houston. And a tornado warning. Unimaginably bad situation. https://t.co/VlAOA0LRkw,http://twitter.com/capitalweather/statuses/901843025432907778,2017-08-27 16:25:07+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1330,963486,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DIP9cuwXcAAcohK.mp4'],,901843025432907,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
41,100,100,901892193899728898,Weather Service: Disastrous flooding from #Harvey worse than Allison in Houston in half the time.… https://t.co/Cqr2KK6EVi,http://twitter.com/capitalweather/statuses/901892193899728898,2017-08-27 19:40:30+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1331,963709,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIQqJbaXgAAoigh.jpg'],,901892193899728,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
42,102,102,901908280485830656,"Euro model shows another 20-30"" of rain in Houston next 5 days - on top of 15-30"" already. Unimaginable, unfair.… https://t.co/aZ0cMKLPkj",http://twitter.com/capitalweather/statuses/901908280485830656,2017-08-27 20:44:25+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1331,963754,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIQ4pMFW0AA2---.jpg'],,901908280485830,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no
43,104,104,901927760700035072,"Hurricane Center now says #Harvey may drift back over Gulf, restrengthen slightly, & make 2nd landfall near Houston… https://t.co/KGdJQRB7Bu",http://twitter.com/capitalweather/statuses/901927760700035072,2017-08-27 22:01:49+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1331,963837,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIRKbPmW4AMiR13.jpg'],,901927760700035,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no
44,105,105,901933492619153408,Live https://t.co/uDTjyycExz #Harvey rains & impact discussion + how to help TX & LA. Unimaginable catastrophe to g… https://t.co/azVSrjGLiz,http://twitter.com/capitalweather/statuses/901933492619153408,2017-08-27 22:24:36+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1331,963853,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",video,['https://video.twimg.com/ext_tw_video/901933433349394432/pu/vid/320x180/sR3oHWEb75msSut4.mp4'],,901933492619153,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no
45,109,109,902000846380179456,"1051p: Not good at all. Up to 3"" of rain in last hour alone west side of Houston. https://t.co/YZja6NcHcN",http://twitter.com/capitalweather/statuses/902000846380179456,2017-08-28 02:52:14+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1331,964034,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DISM_PPXcAQWnt2.jpg'],,902000846380179,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
46,110,110,902001369833500673,1053p: Some of the heaviest rain of the day coming through Houston. https://t.co/1Wr1J3WlSN,http://twitter.com/capitalweather/statuses/902001369833500673,2017-08-28 02:54:19+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1331,964033,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DISNdgrXgAEYicx.mp4'],,902001369833500,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
47,111,111,902129984357191680,"723a: Heavy rain near, east of Beaumont, Tex. Still raining in Houston but not as hard for now. https://t.co/t1BZpPxEQS",http://twitter.com/capitalweather/statuses/902129984357191680,2017-08-28 11:25:23+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1331,964241,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DIUCb5SXgAAsOVy.mp4'],,902129984357191,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
