,id,text,link,created_at,tweet_type,user.screen_name,user.name,user.id,user.friends,user.followers,user.verified,user.account_created_at,user.location,media.media_type,media.media_urls,geolocation,id.trunc
92634,900392084733128709,"#Harvey forecast to hit Texas Friday & stall. Incredible rain amounts poss, even 20""+. Houston in path. More info:… https://t.co/dFbXoz9qhy",http://twitter.com/capitalweather/statuses/900392084733128709,2017-08-23 16:19:36+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,960273,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DH7U4RrXkAE8_l6.jpg'],,900392084733128
62362,900448919662059520,"#NOAA49 is airborne at 42k ft on a flight in #TDHarvey. WP-3D Orion #NOAA42 is prepping now for a night takeoff, fl… https://t.co/0WfxgBoyrN",http://twitter.com/NOAA_HurrHunter/statuses/900448919662059520,2017-08-23 20:05:26+00:00,original_tweet,noaa_hurrhunter,NOAAHurricaneHunters,619247259,218,49608,True,2012-06-26T15:20:33.000Z,"Lakeland, FL",photo,"['http://pbs.twimg.com/media/DH8JCkrXUAAD9uK.jpg', 'http://pbs.twimg.com/media/DH8JEhZXYAAkkvk.jpg']",,900448919662059
90608,900538096630067201,Report: People put sunscreen in eyes to see eclipse & being referred to ophthalmologist. We give up!… https://t.co/45ywWwjlDK,http://twitter.com/capitalweather/statuses/900538096630067201,2017-08-24 01:59:48+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,960461,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DH9Z8nQXkAklbAi.jpg'],,900538096630067
87282,900734956380585984,HFD @FireChiefofHFD & @KiddeSafety & @HomeDepot & @BrendaStardig announce 6th annual operation save a life campaign… https://t.co/fIoDD7rtSW,http://twitter.com/cohoustonfire/statuses/900734956380585984,2017-08-24 15:02:03+00:00,original_tweet,cohoustonfire,Houston Fire Dept,88957094,288,18464,False,2009-11-10T16:00:10.000Z,"Houston, Texas",photo,"['http://pbs.twimg.com/media/DIANqYGUMAEIyTt.jpg', 'http://pbs.twimg.com/media/DIANqYGUwAUJoHq.jpg', 'http://pbs.twimg.com/media/DIANqYHUMAA-ACb.jpg']",,900734956380585
92112,900738872094715904,"HFD Durante la  6ta conferencia de prensa ""Operación Salva una Vida""con la participación de @KiddeSafety &… https://t.co/kebISIb7XO",http://twitter.com/cohoustonfire/statuses/900738872094715904,2017-08-24 15:17:36+00:00,original_tweet,cohoustonfire,Houston Fire Dept,88957094,288,18466,False,2009-11-10T16:00:10.000Z,"Houston, Texas",photo,"['http://pbs.twimg.com/media/DIARNCBXoAEYnOn.jpg', 'http://pbs.twimg.com/media/DIARNB-XYAELZdr.jpg', 'http://pbs.twimg.com/media/DIARNCTWsAAAueH.jpg', 'http://pbs.twimg.com/media/DIARNCVXkAArkGi.jpg']","Houston, TX",900738872094715
100078,900743290521358336,@KiddeSafety @BrendaStardig @HOUPublicSafety HFD recibe 3000 Detectores de Humo y 500 De Monóxido de Carbono para a… https://t.co/ousr3LcMch,http://twitter.com/cohoustonfire/statuses/900743290521358336,2017-08-24 15:35:10+00:00,original_tweet,cohoustonfire,Houston Fire Dept,88957094,288,18466,False,2009-11-10T16:00:10.000Z,"Houston, Texas",photo,"['http://pbs.twimg.com/media/DIAVNy6W0AArrzc.jpg', 'http://pbs.twimg.com/media/DIAVNxgWsAA0xg_.jpg', 'http://pbs.twimg.com/media/DIAVNxcXoAMwOqd.jpg', 'http://pbs.twimg.com/media/DIAVNxxXcAA8CFt.jpg']","Houston, TX",900743290521358
43209,900758091364519937,What do you need to put together an emergency kit for tropical storm #Harvey? Our video gives you the answers.… https://t.co/n26B0eDtmx,http://twitter.com/HoustonHealth/statuses/900758091364519937,2017-08-24 16:33:58+00:00,original_tweet,houstonhealth,Houston Health Dept,37303117,1115,3711,False,2009-05-02T22:55:17.000Z,"Houston, TX",photo,['http://pbs.twimg.com/media/DIAimhWU0AATJGx.jpg'],,900758091364519
36023,900760830408630273,"Incredible: GFS model projects #Harvey to stall over E Texas for 5 days, thru Wed, unloading 15-30"" of rain.… https://t.co/owCG15j4ra",http://twitter.com/capitalweather/statuses/900760830408630273,2017-08-24 16:44:51+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,960817,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIAlEZHWAAEd-DO.jpg'],,900760830408630
41108,900763179931848704,Flood disaster in the making? GFS model simulates #Harvey stalled for 5 days over Texas: https://t.co/H2pt4VJ0ty https://t.co/nLhzLs73cH,http://twitter.com/capitalweather/statuses/900763179931848704,2017-08-24 16:54:12+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,960818,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",animated_gif,['https://video.twimg.com/tweet_video/DIAnP-IWAAEDa8i.mp4'],,900763179931848
102508,900768546308882433,"#Harvey is now #HurricaneHarvey, maximum winds of 80 mph. Strengthening continues. Detailed run down:… https://t.co/0WQufdoNf4",http://twitter.com/capitalweather/statuses/900768546308882433,2017-08-24 17:15:31+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,960833,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIAsLmjWsAA2fUB.jpg'],,900768546308882
110824,900773834089017344,"Projection of 300,000 customers without power in Texas due to #Harvey from several academics:… https://t.co/ao5eOY8XYv",http://twitter.com/capitalweather/statuses/900773834089017344,2017-08-24 17:36:32+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,960844,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIAw44mWsAEoiTi.jpg'],,900773834089017
12984,900782734267875329,"2p update from NHC: #Harvey's winds up to 85 mph, forecast to make landfall w/ 125 mph winds, high Cat 3:… https://t.co/Xd5NGk2gHt",http://twitter.com/capitalweather/statuses/900782734267875329,2017-08-24 18:11:54+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,960864,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIA5F8rWsAEMePW.jpg'],,900782734267875
27742,900789862755958786,"Potential flood disaster: Like GFS, European model forecasts large area 17-32"" of rain thru Wed in eastern Texas.… https://t.co/FN0Z9yaUcZ",http://twitter.com/capitalweather/statuses/900789862755958786,2017-08-24 18:40:13+00:00,original_tweet,capitalweather,Capital Weather Gang,15309804,1326,960891,True,2008-07-03T16:18:31.000Z,"Washington, D.C.",photo,['http://pbs.twimg.com/media/DIA_NYOW0AU5Ffu.jpg'],,900789862755958
